2025-07-19 14:08:04: Enter code (6 digits) for kraveaibot (ChallengeChoice.EMAIL): 
2025-07-19 14:49:00: Enter code (6 digits) for kraveaibot (ChallengeChoice.EMAIL): 
2025-07-20 16:46:48: ❌ IG_USERNAME o INSTAGRAM_PASS no configuradas en .env
2025-07-20 16:46:48: ❌ IG_USERNAME o INSTAGRAM_PASS no configuradas en .env
2025-07-20 16:46:49: ❌ IG_USERNAME o INSTAGRAM_PASS no configuradas en .env
2025-07-20 16:46:50: ❌ IG_USERNAME o INSTAGRAM_PASS no configuradas en .env
2025-07-20 16:46:50: ❌ IG_USERNAME o INSTAGRAM_PASS no configuradas en .env
2025-07-20 16:46:51: ❌ IG_USERNAME o INSTAGRAM_PASS no configuradas en .env
2025-07-20 16:46:52: ❌ IG_USERNAME o INSTAGRAM_PASS no configuradas en .env
2025-07-20 16:46:52: ❌ IG_USERNAME o INSTAGRAM_PASS no configuradas en .env
2025-07-20 16:46:53: ❌ IG_USERNAME o INSTAGRAM_PASS no configuradas en .env
2025-07-20 16:46:54: ❌ IG_USERNAME o INSTAGRAM_PASS no configuradas en .env
2025-07-20 16:46:54: ❌ IG_USERNAME o INSTAGRAM_PASS no configuradas en .env
2025-07-20 16:46:55: ❌ IG_USERNAME o INSTAGRAM_PASS no configuradas en .env
